0	0.5	0.2	0.7
0.1	0.505	0.195	0.7
0.2	0.52	0.18	0.7
0.30000000000000004	0.545	0.155	0.7
0.4	0.58	0.12	0.7
0.5	0.625	0.075	0.7
0.6	0.177	0.077	0.253
0.7	0.132	0.122	0.253
0.7999999999999999	0.097	0.156	0.253
0.8999999999999999	0.073	0.181	0.253
0.9999999999999999	0.058	0.196	0.253
1.0999999999999999	0.053	0.2	0.253
1.2	0.058	0.195	0.253
1.3	0.074	0.18	0.253
1.4000000000000001	0.099	0.154	0.253
1.5000000000000002	0.134	0.119	0.253
1.6000000000000003	0.179	0.074	0.253
1.7000000000000004	0.128	0.078	0.206
1.8000000000000005	0.084	0.122	0.206
1.9000000000000006	0.049	0.157	0.206
2.0000000000000004	0.025	0.181	0.206
2.1000000000000005	0.01	0.196	0.206
2.2000000000000006	0.006	0.2	0.206
2.3000000000000007	0.011	0.195	0.206
2.400000000000001	0.027	0.179	0.206
2.500000000000001	0.052	0.154	0.206
2.600000000000001	0.088	0.118	0.206
2.700000000000001	0.133	0.073	0.206
2.800000000000001	0.122	0.079	0.201
2.9000000000000012	0.078	0.123	0.201
3.0000000000000013	0.043	0.158	0.201
3.1000000000000014	0.019	0.182	0.201
3.2000000000000015	0.005	0.196	0.201
3.3000000000000016	0.001	0.2	0.201
3.4000000000000017	0.006	0.195	0.201
3.5000000000000018	0.022	0.179	0.201
3.600000000000002	0.048	0.153	0.201
3.700000000000002	0.084	0.118	0.201
3.800000000000002	0.129	0.072	0.201
3.900000000000002	0.12	0.08	0.2
4.000000000000002	0.076	0.124	0.2
4.100000000000001	0.042	0.158	0.2
4.200000000000001	0.018	0.182	0.2
4.300000000000001	0.004	0.196	0.2
4.4	0.0	0.2	0.2
4.5	0.006	0.194	0.2
4.6	0.022	0.178	0.2
4.699999999999999	0.048	0.152	0.2
4.799999999999999	0.084	0.116	0.2
4.899999999999999	0.13	0.071	0.2
4.999999999999998	0.119	0.081	0.2
5.099999999999998	0.075	0.125	0.2
5.1999999999999975	0.041	0.159	0.2
5.299999999999997	0.018	0.183	0.2
5.399999999999997	0.004	0.196	0.2
5.4999999999999964	0.0	0.2	0.2
5.599999999999996	0.006	0.194	0.2
5.699999999999996	0.022	0.178	0.2
5.799999999999995	0.049	0.152	0.2
5.899999999999995	0.085	0.115	0.2
5.999999999999995	0.131	0.069	0.2
6.099999999999994	0.118	0.083	0.2
6.199999999999994	0.074	0.126	0.2
6.299999999999994	0.041	0.16	0.2
6.399999999999993	0.017	0.183	0.2
6.499999999999993	0.004	0.197	0.2
6.5999999999999925	0.0	0.2	0.2
6.699999999999992	0.007	0.194	0.2
6.799999999999992	0.023	0.177	0.2
6.8999999999999915	0.049	0.151	0.2
6.999999999999991	0.086	0.114	0.2
7.099999999999991	0.132	0.068	0.2
7.19999999999999	0.117	0.084	0.2
7.29999999999999	0.073	0.127	0.2
7.39999999999999	0.04	0.16	0.2
7.499999999999989	0.017	0.184	0.2
7.599999999999989	0.003	0.197	0.2
7.699999999999989	0.0	0.2	0.2
7.799999999999988	0.007	0.193	0.2
7.899999999999988	0.024	0.177	0.2
7.999999999999988	0.05	0.15	0.2
8.099999999999987	0.087	0.113	0.2
8.199999999999987	0.134	0.067	0.2
8.299999999999986	0.115	0.085	0.2
8.399999999999986	0.072	0.128	0.2
8.499999999999986	0.039	0.161	0.2
8.599999999999985	0.016	0.184	0.2
8.699999999999985	0.003	0.197	0.2
8.799999999999985	0.0	0.2	0.2
8.899999999999984	0.007	0.193	0.2
8.999999999999984	0.024	0.176	0.2
9.099999999999984	0.051	0.149	0.2
9.199999999999983	0.088	0.112	0.2
9.299999999999983	0.135	0.065	0.2
9.399999999999983	0.114	0.086	0.2
9.499999999999982	0.071	0.129	0.2
9.599999999999982	0.038	0.162	0.2
9.699999999999982	0.016	0.184	0.2
9.799999999999981	0.003	0.197	0.2
9.89999999999998	0.0	0.2	0.2
9.99999999999998	0.008	0.193	0.2
10.09999999999998	0.025	0.175	0.2
10.19999999999998	0.052	0.148	0.2
10.29999999999998	0.089	0.111	0.2
10.399999999999979	0.136	0.064	0.2
10.499999999999979	0.112	0.088	0.2
10.599999999999978	0.07	0.13	0.2
10.699999999999978	0.038	0.162	0.2
10.799999999999978	0.015	0.185	0.2
10.899999999999977	0.003	0.197	0.2
10.999999999999977	0.0	0.2	0.2
11.099999999999977	0.008	0.192	0.2
11.199999999999976	0.026	0.174	0.2
11.299999999999976	0.053	0.147	0.2
11.399999999999975	0.091	0.109	0.2
11.499999999999975	0.138	0.062	0.2
11.599999999999975	0.11	0.089	0.2
11.699999999999974	0.068	0.131	0.2
11.799999999999974	0.036	0.163	0.2
11.899999999999974	0.014	0.185	0.2
11.999999999999973	0.002	0.197	0.2
12.099999999999973	0.0	0.199	0.2
12.199999999999973	0.008	0.191	0.2
12.299999999999972	0.026	0.173	0.2
12.399999999999972	0.054	0.145	0.2
12.499999999999972	0.092	0.107	0.2
12.599999999999971	0.14	0.059	0.2
12.69999999999997	0.108	0.091	0.2
12.79999999999997	0.067	0.133	0.2
12.89999999999997	0.035	0.165	0.2
12.99999999999997	0.014	0.186	0.2
13.09999999999997	0.002	0.198	0.2
13.199999999999969	0.001	0.199	0.2
13.299999999999969	0.009	0.191	0.2
13.399999999999968	0.027	0.172	0.2
13.499999999999968	0.056	0.144	0.2
13.599999999999968	0.094	0.105	0.2
13.699999999999967	0.143	0.057	0.2
13.799999999999967	0.106	0.093	0.2
13.899999999999967	0.065	0.134	0.2
13.999999999999966	0.034	0.166	0.2
